min,max,rainToday,rainTomorrow
13.4,22.9,0,0
7.4,25.1,0,0
12.9,25.7,0,0
9.2,28,0,0
17.5,32.3,0,0
14.6,29.7,0,0
14.3,25,0,0
7.7,26.7,0,0
9.7,31.9,0,1
13.1,30.1,1,0
13.4,30.4,0,1
15.9,21.7,1,1
15.9,18.6,1,1
12.6,21,1,0
9.8,27.7,0,0
14.1,20.9,0,1
13.5,22.9,1,1
11.2,22.5,1,0
9.8,25.6,0,0
11.5,29.3,0,0
17.1,33,0,0
20.5,31.8,0,0
15.3,30.9,0,0
12.6,32.4,0,0
16.2,33.9,0,0
16.9,33,0,0
20.1,32.7,0,0
19.7,27.2,0,1
12.5,24.2,1,0
12,24.4,0,0
11.3,26.5,0,0
9.6,23.9,0,0
10.5,28.8,0,0
12.3,34.6,0,0
12.9,35.8,0,0
13.7,37.9,0,0
16.1,38.9,0,0
14,28.3,0,0
12.5,28.4,0,0
17,30.8,0,0
16.9,32,0,0
17.3,34.7,0,0
17.2,37.7,0,0
17.4,43,0,0
19.8,32.7,0,0
14.9,26.7,0,0
10.5,28.4,0,0
11.3,32.2,0,0
13.9,36.6,0,0
18.6,39.9,0,0
19.3,38.1,0,0
24.4,34,0,1
18.8,35.2,1,0
20.8,30.6,0,0
14,34.3,0,0
15.7,38.4,0,0
18.5,38.2,0,0
20.4,40.7,0,0
21.8,41.5,0,0
22.3,42.9,0,0
22,42.7,0,0
28,43.1,0,0
24.4,38.3,0,0
21.5,37.7,0,0
21.7,36.9,0,0
21.5,41.2,0,0
23.5,42.2,0,0
22.3,44.8,0,0
28.3,40.2,0,0
18.4,31.2,0,0
14.9,27.3,0,0
13.5,26.7,0,0
16.1,21.6,0,1
14.6,29,1,0
12.4,29.2,0,0
13.3,31.3,0,0
17.2,31.1,0,0
12.5,28.8,0,0
18,32,0,0
16.2,34,0,0
18.7,29.1,0,0
13.7,31.7,0,0
15.5,33.2,0,0
14.3,34,0,0
12.9,29.6,0,0
8.9,31.9,0,0
15,32.7,0,0
15.4,32.6,0,0
16,34.5,0,0
12.8,30.3,0,0
13.2,31.9,0,0
18,31.1,0,0
13.8,22.1,0,0
11.5,22,0,0
7.6,24,0,0
8.3,27.9,0,0
11,30.2,0,0
13.8,31.8,0,0
15.5,32,0,1
18.4,30.5,1,0
20.9,25.7,0,1
17.1,25.8,1,1
16.4,27,1,1
10,19.7,1,0
8.8,21.9,0,0
8.4,25.3,0,0
9.3,28,0,0
11.3,30.1,0,0
11.5,33.5,0,0
13.8,33.6,0,0
14.6,30,0,0
14.4,31.6,0,0
10.8,31.9,0,0
15.4,22.3,0,1
13.3,29.8,1,0
10.1,27.6,0,0
9.1,28.9,0,0
10.4,31.2,0,0
13.4,30.4,0,0
12.3,29.9,0,0
12.2,30.6,0,0
14.3,32.1,0,1
18.4,28.1,1,1
10.7,21.4,1,0
7.8,21.7,0,0
8.1,21.4,0,0
7.5,22.5,0,0
8.2,24,0,0
8.1,25.7,0,0
11.6,26.7,0,1
13,24.9,1,1
13.5,24.2,1,0
9.9,25.4,0,0
12.2,25,0,0
10.7,21.9,0,0
3.5,20,0,0
6.6,21.6,0,0
7,23.4,0,0
11.2,23.9,0,0
7.4,22,0,0
5.7,21.4,0,0
6.2,22.7,0,0
6,22.9,0,0
10.6,16.2,0,1
12.9,15.8,1,1
8.6,12.9,1,1
4.5,11.5,1,1
7.6,14.5,1,0
5.4,12.2,0,0
2.1,16.5,0,0
1.8,17,0,0
7.2,19.2,0,0
4.6,18.9,0,0
4.2,19.1,0,0
5.2,18.8,0,0
4.1,19.3,0,0
3.2,18.4,0,0
4.3,19,0,0
3.7,20.5,0,0
5.4,19.5,0,0
4.3,17.7,0,0
3.6,18.5,0,0
3.6,15.1,0,0
6.9,16.3,0,0
10.3,16.6,0,1
12.4,16.4,1,0
3,15.6,0,0
2.6,19.7,0,0
3.7,19.1,0,0
5.1,18.6,0,0
4.4,19.8,0,0
4.7,19.8,0,0
6.2,22.9,0,0
6.7,21.1,0,0
9.3,20.3,0,1
11.6,18.1,1,0
8,16.2,0,0
2.6,15.7,0,0
2.2,16.5,0,0
2.2,16.8,0,0
1.7,17.1,0,1
